311924950309163010	positive	Neuer Papst sogar ein sehr netter ! %PosSmiley ich freue mich auf seine Tätigkeiten	neu Papst sogar eine sehr nett ! %PosSmiley ich freuen ich auf sein Tätigkeit	ADJA NN ADV ART ADV ADJD $. ITJ PPER VVFIN PRF APPR PPOSAT NN	2/NK 0/-- 4/MO 2/AG 6/MO 2/PD 6/-- 6/DM 10/SB 0/-- 10/OA 10/OP 14/NK 12/NK	case=nom|Target::markable_2::Preferred=true|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=sg|Target::markable_2::Anaphref=empty|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|Target::markable_2::Target=True case=nom|gender=masc|num=sg|Target::markable_2::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_1::Sentiment=True Intensifier::markable_4::EmoExpressionRef=emo-expression:markable_3|Intensifier::markable_4::Intensifier=True|Intensifier::markable_4::Degree=medium|Sentiment::markable_1::Sentiment=True EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|pos=True|EmoExpression::markable_3::Sarcasm=false|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::Uncertain=false Sentiment::markable_1::Sentiment=True EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Polarity=positive|EmoExpression::markable_5::Uncertain=false|Sentiment::markable_1::Sentiment=True case=nom|Sentiment::markable_6::Polarity=positive|Source::markable_7::Anaphref=empty|Sentiment::markable_6::Sentiment=True|*=True|Sentiment::markable_6::Sarcasm=false|pers=1|Sentiment::markable_6::Intensity=medium|num=sg|Source::markable_7::Source=True EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::EmoExpression=True|num=sg|tense=pres|EmoExpression::markable_10408073::Uncertain=false|EmoExpression::markable_10408073::EmoExpression=True|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_10408073::SubjectiveFact=false|mood=ind|EmoExpression::markable_10408073::Intensity=medium|EmoExpression::markable_10408073::Polarity=positive|EmoExpression::markable_8::Uncertain=false|EmoExpression::markable_10408073::Sarcasm=false|pers=1|EmoExpression::markable_8::Sarcasm=false|Sentiment::markable_6::Sentiment=True case=acc|pers=1|EmoExpression::markable_8::EmoExpression=True|num=sg|Sentiment::markable_6::Sentiment=True Sentiment::markable_6::Sentiment=True case=acc|num=pl|Target::markable_9::Target=True|Target::markable_9::Anaphref=empty|gender=fem|Sentiment::markable_6::Sentiment=True|Target::markable_9::Preferred=true case=acc|gender=fem|Sentiment::markable_6::Sentiment=True|num=pl|Target::markable_9::Target=True
311932740620673024	positive	nichts da Hochzeit gibt es bei den katholen nur für hetros. Daher keine weisse Kutsche für weiss kittel papst franziskus %PosSmiley	nichts da Hochzeit geben es bei die katholen nur für hetros. daher keine weiß Kutsche für weiß kittel papst franziskus %PosSmiley	PIS ADV NN VVFIN PPER APPR ART ADJA ADV APPR NE PAV PIAT ADJA NN APPR ADJD ADJD ADJA NN ITJ	3/NK 1/MO 4/OA 0/-- 4/EP 4/MO 8/NK 6/NK 10/MO 4/MO 10/NK 15/NK 15/NK 15/NK 0/-- 15/MNR 19/MO 19/MO 20/NK 16/NK 20/NK	gender=neut|*=True _ case=acc|EmoExpression::markable_10408074::EmoExpression=True|EmoExpression::markable_10408074::Sarcasm=false|gender=masc|EmoExpression::markable_10408074::SubjectiveFact=true|EmoExpression::markable_10408074::Polarity=positive|EmoExpression::markable_10408074::Uncertain=false|num=sg|EmoExpression::markable_10408074::Intensity=medium pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=dat|*=True|num=pl case=dat|*=True|num=pl|pos=True _ _ *=True _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ pos=True pos=True pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
311918350341111809	positive	Hat der neue Papst eigentlich auch Probezeit? %PosSmiley conclave	haben die neu Papst eigentlich auch Probezeit? %PosSmiley conclave	VAFIN ART ADJA NN ADV ADV NN ITJ ADJA	0/-- 4/NK 4/NK 1/SB 1/MO 7/MO 1/OA 7/NK 0/--	pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false _
312021813037248512	negative	Wieder kein Moslem als Papst. %NegSmiley	wieder keine Moslem als Papst. %NegSmiley	ADV PIAT NN KOKOM NN ITJ	3/MO 3/NK 0/-- 3/CD 4/NK 0/NK	Target::markable_14::Target=True|Target::markable_14::Preferred=true|Sentiment::markable_12::Sentiment=True|Target::markable_14::Anaphref=empty case=nom|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True|Target::markable_14::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True|Target::markable_14::Target=True Target::markable_14::Target=True|Sentiment::markable_12::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True Sentiment::markable_12::Sentiment=True|EmoExpression::markable_15::Polarity=negative|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false
311845799040532480	positive	DAS Outlook bitte %PosSmiley So wie DAS Gott, DAS Papst, DAS Microsoft.	DAS Outlook bitten %PosSmiley so wie die Gott, DAS Papst, DAS Microsoft.	NE NE VVFIN ITJ ADV KOKOM ART NE NE NE NE NE	2/PNC 3/SB 0/-- 3/DM 3/MO 8/CM 8/NK 5/CC 12/PNC 12/PNC 12/PNC 8/NK	*=True case=nom|*=True|num=sg _ EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311914467829108737	positive	ein junger, schwarzer, moderner Papst %PosSmiley	eine junger, schwarzer, modern Papst %PosSmiley	ART NE NE ADJA NN ITJ	3/NK 3/PNC 5/AG 5/NK 0/-- 5/NK	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|EmoExpression::markable_10408075::SubjectiveFact=true|gender=masc|EmoExpression::markable_10408075::Uncertain=false|pos=True|num=sg|EmoExpression::markable_10408075::Intensity=medium|EmoExpression::markable_10408075::Sarcasm=false|EmoExpression::markable_10408075::EmoExpression=True|EmoExpression::markable_10408075::Polarity=positive case=nom|gender=masc|num=sg EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium
311920656914735104	mixed	Der Papst sieht aber putzig aus. Ich mag ihn. Auch wenn mir die Kirche schnurz ist. %PosSmiley HabemusPapam pope	die Papst sehen aber putzig aus. ich mögen ihn. auch wenn ich die Kirche schnurz ist. %PosSmiley HabemusPapam pope	ART NN VVFIN ADV ADJD VVFIN PPER VMFIN ADV ADV KOUS PPER ART NN ADJA NN ITJ NN ADJA	2/NK 3/SB 0/-- 3/MO 3/MO 3/OC 8/SB 0/-- 8/MO 14/MO 14/CP 15/DA 14/NK 0/-- 16/NK 14/AG 18/NK 19/OA 0/--	case=nom|Target::markable_19::Target=True|Sentiment::markable_18::Sarcasm=false|gender=masc|Sentiment::markable_18::Intensity=medium|num=sg|Target::markable_19::Preferred=true|Sentiment::markable_18::Polarity=positive|Target::markable_19::Anaphref=empty|Sentiment::markable_18::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_18::Sentiment=True|Target::markable_19::Target=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Sarcasm=false|pos=True|EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive|Sentiment::markable_18::Sentiment=True pos=True|Sentiment::markable_18::Sentiment=True case=nom|Sentiment::markable_21::Sarcasm=false|Source::markable_22::Source=True|Sentiment::markable_21::Intensity=medium|*=True|pers=1|num=sg|Sentiment::markable_21::Polarity=positive|Source::markable_22::Anaphref=empty|Sentiment::markable_21::Sentiment=True EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|mood=ind|EmoExpression::markable_23::Uncertain=false|pers=1|num=sg|tense=pres|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::EmoExpression=True|Sentiment::markable_21::Sentiment=True|EmoExpression::markable_23::Sarcasm=false Sentiment::markable_21::Sentiment=True Sentiment::markable_25::Sentiment=True|Sentiment::markable_25::Polarity=negative|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=weak Sentiment::markable_25::Sentiment=True case=dat|pers=1|num=sg|Source::markable_27::Source=True|Source::markable_27::Anaphref=empty|Sentiment::markable_25::Sentiment=True|*=True case=nom|num=sg|gender=fem|Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True|Target::markable_26::Preferred=true|Target::markable_26::Anaphref=empty case=nom|gender=fem|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True case=nom|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::EmoExpression=True|gender=fem|EmoExpression::markable_28::Intensity=weak|num=sg|EmoExpression::markable_28::Polarity=negative|sup=True|Sentiment::markable_25::Sentiment=True|EmoExpression::markable_28::Uncertain=false case=nom|gender=fem|Sentiment::markable_25::Sentiment=True|num=sg Sentiment::markable_25::Sentiment=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True
311920496134455296	positive	Der neue Papst grüsst sie alle %PosSmiley Der Papst ist doch nur ein normaler mensch %PosSmiley %User	die neu Papst grüßen sie alle %PosSmiley die Papst sein doch nur eine normal Mensch %PosSmiley %User	ART ADJA NN VVFIN PPER PIAT ITJ ART NN VAFIN ADV ADV ART ADJA NN ITJ NE	3/NK 3/NK 4/SB 0/-- 4/SB 5/NK 5/NK 9/NK 10/SB 4/CJ 10/MO 15/MO 15/NK 15/NK 10/PD 17/NK 15/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg EmoExpression::markable_10408076::Intensity=medium|EmoExpression::markable_10408076::Sarcasm=false|EmoExpression::markable_10408076::Uncertain=false|mood=ind|EmoExpression::markable_10408076::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_10408076::EmoExpression=True|EmoExpression::markable_10408076::Polarity=positive case=acc|*=True|num=pl|pers=3 case=acc|*=True|num=pl case=acc|EmoExpression::markable_29::Intensity=medium|*=True|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Uncertain=false|num=pl|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::SubjectiveFact=false case=nom|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Sentiment::markable_30::Sarcasm=false|gender=masc|Target::markable_31::Anaphref=empty|Sentiment::markable_30::Intensity=medium|num=sg|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Polarity=positive case=nom|gender=masc|Target::markable_31::Target=True|num=sg|Sentiment::markable_30::Sentiment=True pers=3|Sentiment::markable_30::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_30::Sentiment=True case=nom|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|gender=masc|pos=True|EmoExpression::markable_32::EmoExpression=True|EmoExpression::markable_32::Intensity=medium|num=sg|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=nom|gender=masc|num=sg|Sentiment::markable_30::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_30::Sentiment=True|pos=True case=nom|gender=masc|num=sg
311905357234573312	positive	%PosSmiley Natürlich wurde jetzt ein neuer Papst gefunden, schliesslich wollen die Jungs raus Champions League gucken.	%PosSmiley natürlich werden jetzt eine neu Papst gefunden, schließlich wollen die Jungs raus Champions League gucken.	ITJ ADJD VAFIN ADV ART ADJA NN NE ADV VMFIN ART NN ADV NN NE NE	2/DM 3/PD 0/-- 7/MO 7/NK 7/NK 3/SB 7/NK 10/MO 3/OC 12/NK 10/SB 10/MO 10/MO 14/AG 10/MO	_ _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|mood=ind|EmoExpression::markable_35::EmoExpression=True|pers=3|num=pl|tense=pres|EmoExpression::markable_35::SubjectiveFact=false|Sentiment::markable_34::Sarcasm=false|Sentiment::markable_34::Sentiment=True|Sentiment::markable_34::Intensity=medium|Sentiment::markable_34::Polarity=positive|EmoExpression::markable_35::Polarity=positive case=nom|num=pl|Source::markable_36::Anaphref=empty|Sentiment::markable_34::Sentiment=True|gender=masc|Source::markable_36::Source=True case=nom|gender=masc|num=pl|Sentiment::markable_34::Sentiment=True|Source::markable_36::Source=True Sentiment::markable_34::Sentiment=True case=gen|Target::markable_37::Anaphref=empty|num=sg|Target::markable_37::Preferred=true|Target::markable_37::Target=True|Sentiment::markable_34::Sentiment=True|gender=neut case=gen|gender=neut|num=sg|Sentiment::markable_34::Sentiment=True|Target::markable_37::Target=True _
311934946287689728	positive	Bei all den hitzigen Tweets zum neuen Papst kuemmern wir uns lieber um kuehle Nordlichter in Nord-Finnland! %PosSmiley esaaurora # ...	bei alle die hitzig Tweets zu neu Papst kuemmern wir wir lieb um kuehle Nordlicht in Nord-Finnland! %PosSmiley esaaurora # ...	APPR PIAT ART ADJA NN APPRART ADJA NN VVFIN PPER PRF ADJD APPR NN NN APPR NN ITJ NN XY $.	9/MO 5/NK 5/NK 5/NK 1/NK 5/MNR 8/NK 6/NK 0/-- 9/SB 9/OA 9/MO 9/OP 13/NK 9/MO 15/MNR 16/NK 17/NK 0/-- 19/NK 20/--	Sentiment::markable_38::Sentiment=True *=True|Sentiment::markable_38::Sentiment=True case=dat|gender=fem|num=pl|Sentiment::markable_38::Sentiment=True case=gen|gender=neut|num=sg|Sentiment::markable_38::Sentiment=True|pos=True case=gen|gender=neut|num=sg|Sentiment::markable_38::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True|pos=True case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|mood=ind|EmoExpression::markable_40::SubjectiveFact=false|Sentiment::markable_38::Sentiment=True|pers=1|num=pl|tense=pres|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::Polarity=positive case=nom|*=True|num=pl|Sentiment::markable_38::Sentiment=True|pers=1 case=acc|pers=1|num=pl|Sentiment::markable_38::Sentiment=True|EmoExpression::markable_40::EmoExpression=True Sentiment::markable_38::Sentiment=True EmoExpression::markable_40::EmoExpression=True|Sentiment::markable_38::Sentiment=True case=acc|Target::markable_41::Anaphref=empty|num=pl|gender=masc|Target::markable_41::Preferred=true|Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True case=acc|gender=masc|num=pl|Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True case=dat|EmoExpression::markable_42::Uncertain=false|gender=masc|Sentiment::markable_38::Sentiment=True|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false|num=sg|EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium _ _ _
311955254566584320	positive	OSTERN ist gerettet: Wir haben einen neuen Papst - und auch unser Gewinnspiel mit süssem Osterhasen läuft noch! %PosSmiley %Link	Ostern sein gerettet: wir haben eine neu Papst - und auch unser Gewinnspiel mit süß Osterhase laufen noch! %PosSmiley %Link	NN VAFIN ADJD PPER VAFIN ART ADJA NN $( KON ADV PPOSAT NN APPR ADJA NN VVFIN ADJA ITJ XY	2/SB 0/-- 2/PD 5/SB 2/CJ 8/NK 8/NK 5/OA 8/-- 5/CD 13/MO 13/NK 17/SB 13/MNR 16/NK 14/NK 10/CJ 17/MO 18/NK 0/--	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ _ Sentiment::markable_44::Sarcasm=false|Sentiment::markable_44::Sentiment=True|Sentiment::markable_44::Polarity=positive|Sentiment::markable_44::Intensity=medium case=nom|num=sg|Target::markable_45::Preferred=true|gender=neut|Target::markable_45::Target=True|Target::markable_45::Anaphref=empty|Sentiment::markable_44::Sentiment=True case=nom|gender=neut|Target::markable_45::Target=True|num=sg|Sentiment::markable_44::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True case=dat|num=sg|gender=masc|Target::markable_45::Target=True|pos=True|Sentiment::markable_44::Sentiment=True case=dat|gender=masc|Target::markable_45::Target=True|num=sg|Sentiment::markable_44::Sentiment=True EmoExpression::markable_10408080::SubjectiveFact=false|EmoExpression::markable_10408080::Uncertain=false|EmoExpression::markable_10408080::EmoExpression=True|mood=ind|EmoExpression::markable_10408080::Sarcasm=false|EmoExpression::markable_10408080::Intensity=medium|pers=3|num=sg|tense=pres|EmoExpression::markable_10408080::Polarity=positive|Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True Sentiment::markable_44::Sentiment=True EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True|Sentiment::markable_44::Sentiment=True _
