311903717236555777	positive	Wir haben einen neuen Papst %PosSmiley	wir haben eine neu Papst %PosSmiley	PPER VAFIN ART ADJA NN ITJ	2/SB 0/-- 5/NK 5/NK 2/OA 5/NK	case=nom|Target::markable_3::Anaphref=empty|*=True|Target::markable_3::Preferred=true|Sentiment::markable_1::Sentiment=True|pers=1|num=pl|Target::markable_3::Target=True pers=1|num=pl|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=acc|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=acc|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=acc|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::Polarity=positive|Sentiment::markable_1::Sentiment=True
311905717697265665	mixed	Im Vatikan wird gerade per weissen Rauchenzeichen kommuniziert, dass ein neuer Pädophiler entdeckt wurde. Papst %PosSmiley	in Vatikan werden gerade per weiß Rauchenzeichen kommuniziert, dass eine neu Pädophiler entdecken wurde. Papst %PosSmiley	APPRART NN VAFIN ADV APPR ADJA NN TRUNC KOUS ART ADJA NN VVPP ADJA NN ITJ	13/MO 1/NK 0/-- 13/MO 13/MO 7/NK 5/NK 14/CJ 13/CP 12/NK 12/NK 13/SB 3/OC 13/MO 0/-- 15/NK	case=dat|gender=masc|num=sg|Sentiment::markable_5::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_5::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_5::Sentiment=True Sentiment::markable_5::Sentiment=True Sentiment::markable_5::Sentiment=True case=dat|gender=fem|num=pl|Sentiment::markable_5::Sentiment=True|pos=True case=dat|gender=fem|num=pl|Sentiment::markable_5::Sentiment=True Sentiment::markable_5::Sentiment=True Sentiment::markable_5::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_5::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_5::Sentiment=True|pos=True case=nom|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|gender=masc|EmoExpression::markable_7::Sarcasm=false|Sentiment::markable_5::Sentiment=True|EmoExpression::markable_7::Polarity=negative|num=sg Sentiment::markable_5::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_5::Sentiment=True|pos=True case=nom|Target::markable_8::Target=True|num=sg|Target::markable_8::Anaphref=empty|gender=masc|Sentiment::markable_5::Sentiment=True|Target::markable_8::Preferred=true case=nom|EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|gender=masc|Sentiment::markable_5::Sentiment=True|EmoExpression::markable_9::SubjectiveFact=false|num=sg|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::EmoExpression=True
311908296867057664	neutral	In der Klassengruppe eine neue Nachricht: Der neue Papst ist gewählt ! %PosSmiley - Ich bin evangelisch. Mir so egal wie wenn ein Sack Reis umfällt.	in die Klassengruppe eine neu Nachricht: die neu Papst sein wählen ! %PosSmiley - ich sein evangelisch. Mir so egal wie wenn eine Sack Reis umfällt.	APPR ART NN ART ADJA NN ART ADJA NN VAFIN VVPP $. ITJ $( PPER VAFIN ADJA NN ADV ADJD KOKOM KOUS ART NN NN NE	11/MO 3/NK 1/NK 6/NK 6/NK 10/SB 9/NK 9/NK 10/SB 0/-- 10/PD 11/-- 0/NK 15/-- 16/SB 0/-- 16/MO 0/-- 20/MO 18/MO 24/CM 24/CP 24/NK 19/CC 24/NK 25/NK	_ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg case=nom|Target::markable_12::Target=True|num=sg|Target::markable_12::Anaphref=empty|gender=masc|Target::markable_12::Preferred=true case=acc|gender=fem|Target::markable_12::Target=True|num=sg|pos=True case=acc|gender=fem|Target::markable_12::Target=True|num=sg pers=3|Target::markable_12::Target=True|num=sg|tense=pres|mood=ind Target::markable_12::Target=True Target::markable_12::Target=True _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|pers=1|num=sg case=nom|gender=masc|num=sg _ _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311933268570288128	positive	%PosSmiley Der neue Papst nutzt SocialMedia und kocht gerne. Wie wäre es mit einem Twitcook in Rom? %PosSmiley Twitter	%PosSmiley die neu Papst nutzen SocialMedia und kochen gerne. wie sein es mit eine Twitcook in Rom? %PosSmiley Twitter	ITJ ART ADJA NN VVFIN NE KON VVFIN NE KOKOM VAFIN PPER APPR ART NN APPR TRUNC ITJ NN	5/DM 4/NK 4/NK 5/SB 0/-- 5/SB 5/CD 7/CJ 8/OA 11/CM 0/-- 11/SB 11/MO 15/NK 13/NK 11/MO 16/NK 17/NK 0/--	_ case=nom|Source::markable_15::Source=True|Sentiment::markable_14::Sentiment=True|Sentiment::markable_14::Polarity=positive|gender=masc|Sentiment::markable_14::Intensity=medium|num=sg|Source::markable_15::Anaphref=empty|Sentiment::markable_14::Sarcasm=false case=nom|Source::markable_15::Source=True|Sentiment::markable_14::Sentiment=True|num=sg|gender=masc|pos=True case=nom|gender=masc|Sentiment::markable_14::Sentiment=True|num=sg|Source::markable_15::Source=True pers=3|Sentiment::markable_14::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|*=True|Sentiment::markable_14::Sentiment=True|num=sg Sentiment::markable_14::Sentiment=True Sentiment::markable_14::Sentiment=True|Target::markable_17::Target=True|Target::markable_17::Preferred=true|mood=ind|Target::markable_17::Anaphref=empty|pers=3|num=sg|tense=pres case=nom|*=True|num=sg _ pers=3|num=sg|tense=past|mood=subj case=nom|gender=neut|num=sg|pers=3 _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ _ case=nom|gender=neut|num=sg
311924421289992192	negative	der neue papst ist nicht batman %NegSmiley	die neu Papst sein nicht batman %NegSmiley	ART ADJA NN VAFIN PTKNEG ADJD ITJ	3/NK 3/NK 4/SB 0/-- 4/NG 4/PD 6/DM	case=nom|Target::markable_20::Target=True|num=sg|Target::markable_20::Preferred=true|Target::markable_20::Anaphref=empty|gender=masc|Sentiment::markable_18::Sentiment=True case=nom|Target::markable_20::Target=True|num=sg|gender=masc|pos=True|Sentiment::markable_18::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_18::Sentiment=True|Target::markable_20::Target=True pers=3|Target::markable_20::Target=True|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|pos=True|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True|EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=negative|EmoExpression::markable_21::Sarcasm=true|EmoExpression::markable_21::Intensity=medium
311923706127589376	positive	So,der neue papst ist da%PosSmiley Hais raus Leute%PosSmiley	So,der neu Papst sein da%PosSmiley Hai raus Leute%PosSmiley	NN ADJA NN VAFIN NE NN ADV NE	4/PD 3/NK 1/NK 0/-- 6/PNC 4/SB 4/MO 4/SB	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|gender=masc|EmoExpression::markable_22::EmoExpression=True|num=sg|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::Polarity=positive case=nom|gender=masc|num=sg _ case=nom|EmoExpression::markable_23::SubjectiveFact=false|gender=masc|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::Uncertain=false|num=sg|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Sarcasm=false
311909954133057537	positive	HabemusPapam ... Nun ist es gleich soweit - der neue Papst präsentiert sich dem Volke am 13.3.13 ... schönes Datum %PosSmiley	HabemusPapam ... nun sein es gleich soweit - die neu Papst präsentieren sich die Volk an @card@ ... schön Datum %PosSmiley	NN $. ADV VAFIN PPER ADJD ADV $( ART ADJA NN VVFIN PRF ART NN APPRART CARD $. ADJA NN ITJ	0/-- 1/-- 4/MO 0/-- 4/SB 12/MO 12/MO 7/-- 11/NK 11/NK 12/SB 5/RE 12/OA 15/NK 4/PD 15/MNR 16/NK 17/-- 20/NK 0/-- 20/NK	case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 pos=True _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=dat|Sentiment::markable_24::Sentiment=True|num=sg|Sentiment::markable_24::Intensity=medium|gender=neut|Sentiment::markable_24::Sarcasm=false|Sentiment::markable_24::Polarity=positive Sentiment::markable_24::Sentiment=True|Target::markable_27::Target=True Sentiment::markable_24::Sentiment=True case=acc|EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|gender=neut|EmoExpression::markable_26::Polarity=positive|pos=True|Sentiment::markable_24::Sentiment=True|num=sg|EmoExpression::markable_26::SubjectiveFact=false case=acc|gender=neut|num=sg|Sentiment::markable_24::Sentiment=True Sentiment::markable_24::Sentiment=True
311840192258510849	positive	Wenigstens beim Postillon gibt es schon einen Papst. %PosSmiley %Link	wenigstens bei Postillon geben es schon eine Papst. %PosSmiley %Link	ADV APPRART NN VVFIN PPER ADV ART NN ITJ XY	2/MO 4/MO 2/NK 0/-- 4/EP 4/MO 8/NK 4/OA 10/NK 0/--	_ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false _
311919022625136641	positive	Jorge ist neuer Papst,dann brauch Heidi Klum ja wieder einen neuen Laufstegtrainer %PosSmiley Papst Vatikan habemuspapam GNTM	Jorge sein neu Papst,dann brauchen Heidi Klum ja wieder eine neu Laufstegtrainer %PosSmiley Papst Vatikan habemuspapam GNTM	NE VAFIN ADJA NN VVIMP NE NN ADV ADV ART ADJA NN ITJ NN NN NE NE	2/SB 0/-- 4/NK 2/PD 2/OC 7/PNC 5/OA 5/MO 2/MO 14/NK 14/NK 14/NK 14/NK 2/PD 14/NK 17/PNC 15/NK	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg case=nom|EmoExpression::markable_29::Intensity=medium|gender=masc|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Uncertain=false|num=sg|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::SubjectiveFact=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311960985701339136	positive	Und dieses Lied widme ich dem neuen Papst %PosSmiley Junge warum hast Du nichts gelernt... %PosSmiley PAPST ♫	und dies Lied widmen ich die neu Papst %PosSmiley jung warum haben du nichts gelernt... %PosSmiley Papst ♫	KON PDAT NN VVFIN PPER ART ADJA NN ITJ ADJA PWAV VAFIN PPER PIAT ADJA ITJ NN ADJA	4/JU 3/NK 4/OA 0/-- 4/SB 8/NK 8/NK 4/DA 16/NK 15/NK 15/MO 15/RE 12/SB 15/NK 9/NK 8/NK 18/MO 0/--	_ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg|pos=True case=dat|gender=neut|num=sg case=dat|*=True|EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|num=sg|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false case=nom|gender=fem|num=sg|pos=True _ pers=2|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 gender=neut|*=True case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True
311944764998156291	positive	Bei all den hitzigen Tweets zum neuen Papst kümmern wir uns lieber um kühle Nordlichter in Nord-Finnland! %PosSmiley esaaurora # ...	bei alle die hitzig Tweets zu neu Papst kümmern wir wir lieb um kühl Nordlicht in Nord-Finnland! %PosSmiley esaaurora # ...	APPR PIAT ART ADJA NN APPRART ADJA NN VVFIN PPER PRF ADJD APPR ADJA NN APPR NN ITJ NN XY $.	9/MO 5/NK 5/NK 5/NK 1/NK 5/MNR 8/NK 6/NK 0/-- 9/SB 9/OA 9/MO 9/OP 15/NK 13/NK 15/MNR 16/NK 17/NK 0/-- 19/NK 20/--	Sentiment::markable_31::Sentiment=True Target::markable_32::Target=True|Target::markable_32::Preferred=true|*=True|Target::markable_32::Anaphref=empty|Sentiment::markable_31::Sentiment=True case=dat|gender=fem|Target::markable_32::Target=True|num=pl|Sentiment::markable_31::Sentiment=True case=gen|Target::markable_32::Target=True|EmoExpression::markable_33::Sarcasm=false|gender=neut|pos=True|EmoExpression::markable_33::Intensity=medium|num=sg|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::SubjectiveFact=false case=gen|gender=neut|Target::markable_32::Target=True|num=sg|Sentiment::markable_31::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_31::Sentiment=True case=dat|gender=masc|num=sg|pos=True|Sentiment::markable_31::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_31::Sentiment=True Sentiment::markable_34::Sarcasm=false|Sentiment::markable_34::Intensity=medium|mood=ind|pers=1|num=pl|tense=pres|Sentiment::markable_34::Sentiment=True|Sentiment::markable_34::Polarity=positive case=nom|pers=1|num=pl|Source::markable_37::Anaphref=empty|Sentiment::markable_34::Sentiment=True|*=True|Source::markable_37::Source=True case=acc|pers=1|num=pl|Sentiment::markable_34::Sentiment=True Sentiment::markable_34::Sentiment=True|EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium Sentiment::markable_34::Sentiment=True case=nom|Target::markable_38::Anaphref=empty|Target::markable_38::Preferred=true|gender=masc|pos=True|num=pl|Sentiment::markable_34::Sentiment=True|Target::markable_38::Target=True case=nom|gender=masc|num=pl|Sentiment::markable_34::Sentiment=True|Target::markable_38::Target=True Sentiment::markable_34::Sentiment=True|Target::markable_38::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_34::Sentiment=True case=dat|EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|gender=neut|EmoExpression::markable_39::Sarcasm=false|num=sg|Sentiment::markable_34::Sentiment=True|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium _ _ _
